epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2693.08,1.56788,1.12287,1.06368,0.70404,0.76835,0.75612,0.45442,1.60749,1.08135,0.99992,9.9081e-05,9.9081e-05,9.9081e-05
92,2719.51,1.57196,1.07844,1.08368,0.71806,0.75283,0.76427,0.46491,1.57598,1.0472,0.98983,9.00819e-05,9.00819e-05,9.00819e-05
93,2746.86,1.58944,1.0649,1.08794,0.71422,0.76431,0.76938,0.48536,1.50942,1.02552,0.97419,8.10828e-05,8.10828e-05,8.10828e-05
94,2773.71,1.5858,1.08173,1.09298,0.7327,0.7491,0.77018,0.47293,1.541,1.02572,0.98309,7.20837e-05,7.20837e-05,7.20837e-05
95,2800.28,1.54284,1.06537,1.06924,0.72658,0.74981,0.77005,0.47305,1.5479,1.03039,0.98454,6.30846e-05,6.30846e-05,6.30846e-05
96,2826.19,1.53111,1.0328,1.07353,0.73891,0.74839,0.76906,0.46249,1.5678,1.0288,0.98774,5.40855e-05,5.40855e-05,5.40855e-05
97,2852.59,1.56976,1.05065,1.07354,0.72187,0.75586,0.77007,0.48433,1.5181,1.01583,0.97587,4.50864e-05,4.50864e-05,4.50864e-05
98,2878.74,1.53858,1.03965,1.06746,0.74502,0.75636,0.77398,0.48235,1.51357,1.00943,0.97418,3.60873e-05,3.60873e-05,3.60873e-05
99,2905.7,1.55399,1.04153,1.06438,0.71564,0.78766,0.77063,0.4768,1.53875,1.01914,0.9806,2.70882e-05,2.70882e-05,2.70882e-05
100,2931.85,1.52911,1.04048,1.06633,0.71758,0.76797,0.77104,0.47987,1.52669,1.01686,0.97735,1.80891e-05,1.80891e-05,1.80891e-05
