epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1550.24,2.39795,2.56598,1.37548,0.53333,0.26778,0.22481,0.10538,2.29563,2.14391,1.28,0.000432048,0.000432048,0.000432048
55,1580.09,2.43882,2.61788,1.36661,0.48644,0.2993,0.20435,0.09552,2.39858,2.15982,1.29387,0.000423049,0.000423049,0.000423049
56,1608.79,2.42966,2.54575,1.36829,0.49365,0.29822,0.18021,0.06608,2.45607,2.23121,1.33979,0.000414049,0.000414049,0.000414049
57,1636.87,2.39368,2.52483,1.35924,0.52529,0.28485,0.20129,0.09332,2.30057,2.09535,1.27007,0.00040505,0.00040505,0.00040505
58,1664.98,2.38991,2.54961,1.35349,0.54298,0.30302,0.21227,0.0967,2.2529,2.07693,1.25095,0.000396051,0.000396051,0.000396051
59,1693.52,2.37442,2.53945,1.35006,0.59529,0.2894,0.24258,0.11451,2.34903,2.0963,1.28618,0.000387052,0.000387052,0.000387052
60,1722.63,2.43678,2.48784,1.34248,0.58365,0.2859,0.23304,0.11001,2.29448,2.0836,1.26156,0.000378053,0.000378053,0.000378053
61,1751.65,2.40286,2.51039,1.34341,0.55858,0.28796,0.23833,0.09394,2.36558,2.08653,1.28165,0.000369054,0.000369054,0.000369054
62,1780.4,2.38222,2.45885,1.34988,0.55396,0.30401,0.22232,0.10503,2.35735,2.09078,1.27774,0.000360055,0.000360055,0.000360055
63,1809.33,2.37233,2.48641,1.34346,0.57714,0.26879,0.23358,0.10864,2.32672,2.06023,1.26171,0.000351056,0.000351056,0.000351056
64,1838.06,2.403,2.48736,1.34236,0.52319,0.24737,0.21364,0.0853,2.32838,2.09244,1.28088,0.000342057,0.000342057,0.000342057
65,1866.4,2.3815,2.47849,1.33618,0.55439,0.28769,0.24314,0.10676,2.32299,2.08795,1.26925,0.000333058,0.000333058,0.000333058
66,1895.71,2.4022,2.47768,1.33184,0.51472,0.31657,0.2234,0.10324,2.3276,2.08951,1.26616,0.000324058,0.000324058,0.000324058
67,1924.19,2.38663,2.48495,1.35285,0.52786,0.29343,0.24644,0.10333,2.30046,2.05614,1.26261,0.000315059,0.000315059,0.000315059
68,1953.28,2.37012,2.47629,1.34055,0.54536,0.26113,0.23092,0.10481,2.2833,2.05238,1.25286,0.00030606,0.00030606,0.00030606
69,1982.37,2.36108,2.47598,1.33386,0.60054,0.29024,0.26011,0.12389,2.20066,2.03007,1.22328,0.000297061,0.000297061,0.000297061
70,2010.81,2.37981,2.47898,1.34026,0.57042,0.30165,0.22907,0.09746,2.33246,2.08486,1.26706,0.000288062,0.000288062,0.000288062
71,2039.02,2.34851,2.43645,1.33148,0.55318,0.27863,0.23041,0.10396,2.21505,2.05052,1.23011,0.000279063,0.000279063,0.000279063
72,2067.92,2.3745,2.44889,1.33745,0.52944,0.2987,0.22833,0.09322,2.32116,2.04852,1.26272,0.000270064,0.000270064,0.000270064
73,2097.4,2.36217,2.45693,1.34663,0.57699,0.30633,0.25337,0.11996,2.26085,2.02868,1.24531,0.000261065,0.000261065,0.000261065
